expert_id,name,twitter,institution,type,title,href
mark-jamison-2,Mark Jamison,drj_policy,aei,,Visiting Scholar,https://www.aei.org/profile/mark-jamison-2/
matthew-h-jensen,Matt Jensen,MattHJensen,aei,,"Director, Open Source Policy Center",https://www.aei.org/profile/matthew-h-jensen/
frederick-w-kagan,Frederick W. Kagan,criticalthreats,aei,,"Resident Scholar; Director, Critical Threats Project",https://www.aei.org/profile/frederick-w-kagan/
steven-b-kamin,Steven B. Kamin,-1,aei,,Resident Scholar,https://www.aei.org/profile/steven-b-kamin/
leon-r-kass,Leon R. Kass,WSPWH,aei,,Emeritus Scholar,https://www.aei.org/profile/leon-r-kass/
kevin-r-kosar,Kevin R. Kosar,kevinrkosar,aei,,Resident Scholar,https://www.aei.org/profile/kevin-r-kosar/
paul-h-kupiec,Paul H. Kupiec,-1,aei,,Resident Scholar,https://www.aei.org/profile/paul-h-kupiec/
desmond-lachman,Desmond Lachman,-1,aei,,Resident Fellow,https://www.aei.org/profile/desmond-lachman/
yuval-levin,Yuval Levin,-1,aei,,"Director, Social, Cultural, and Constitutional StudiesBeth and Ravenel Curry Chair in Public PolicyEditor in Chief, National Affairs",https://www.aei.org/profile/yuval-levin/
phillip-lohaus,Phillip Lohaus,philliplohaus,aei,,Visiting Fellow,https://www.aei.org/profile/phillip-lohaus/
daniel-lyons,Daniel Lyons,ProfDanielLyons,aei,,Visiting Fellow,https://www.aei.org/profile/daniel-lyons/
nathaniel-n-malkus,Nat Malkus,natmalkus,aei,,"Resident Scholar; Deputy Director, Education Policy Studies ",https://www.aei.org/profile/nathaniel-n-malkus/
oriana-skylar-mastro,Oriana Skylar Mastro,osmastro,aei,,Resident Scholar,https://www.aei.org/profile/oriana-skylar-mastro/
john-maurer,John Maurer,-1,aei,,Visiting Scholar,https://www.aei.org/profile/john-maurer/
michael-mazza,Michael Mazza,mike_mazza,aei,,Visiting Fellow,https://www.aei.org/profile/michael-mazza/
rachel-m-mccleary,Rachel M. McCleary,-1,aei,,Visiting Scholar,https://www.aei.org/profile/rachel-m-mccleary/
elaine-mccusker,Elaine McCusker,-1,aei,,Resident Fellow,https://www.aei.org/profile/elaine-mccusker/
bruce-d-meyer,Bruce D. Meyer,-1,aei,,Visiting Scholar,https://www.aei.org/profile/bruce-d-meyer/
thomas-p-miller,Thomas P. Miller,-1,aei,,Resident Fellow,https://www.aei.org/profile/thomas-p-miller/
charles-murray,Charles Murray,charlesmurray,aei,,F. A. Hayek Emeritus Chair in Cultural Studies ,https://www.aei.org/profile/charles-murray/
neil-narang,Neil Narang,-1,aei,,Jeane Kirkpatrick Visiting Scholar,https://www.aei.org/profile/neil-narang/
roger-f-noriega,Roger F. Noriega,rogernoriegaUSA,aei,,Visiting Fellow,https://www.aei.org/profile/roger-f-noriega/
stephen-d-oliner,Stephen D. Oliner,-1,aei,,"State Farm James Q. Wilson Scholar; Senior Adviser, AEI Housing Center",https://www.aei.org/profile/stephen-d-oliner/
ed-olsen,Ed Olsen,-1,aei,,Visiting Scholar,https://www.aei.org/profile/ed-olsen/
norman-j-ornstein,Norman J. Ornstein,NormOrnstein,aei,,Resident Scholar,https://www.aei.org/profile/norman-j-ornstein/
brent-orrell,Brent Orrell,orrell_b,aei,,Resident Fellow,https://www.aei.org/profile/brent-orrell/
mark-j-perry,Mark J. Perry,Mark_J_Perry,aei,,Scholar,https://www.aei.org/profile/mark-j-perry/
tobias-peter,Tobias Peter,-1,aei,,"Director of Research, AEI Housing Center",https://www.aei.org/profile/tobias-peter/
james-pethokoukis,James Pethokoukis,JimPethokoukis,aei,,"Editor, AEIdeas;
DeWitt Wallace Fellow",https://www.aei.org/profile/james-pethokoukis/
edward-j-pinto,Edward J. Pinto,-1,aei,,"Resident Fellow; Director, AEI Housing Center",https://www.aei.org/profile/edward-j-pinto/
danielle-pletka,Danielle Pletka,dpletka,aei,,Senior Fellow,https://www.aei.org/profile/danielle-pletka/
kenneth-pollack,Kenneth Pollack,-1,aei,,Resident Scholar,https://www.aei.org/profile/kenneth-pollack/
kyle-pomerleau,Kyle Pomerleau,kpomerleau,aei,,Resident fellow,https://www.aei.org/profile/kyle-pomerleau/
ramesh-ponnuru,Ramesh Ponnuru,RameshPonnuru,aei,,Visiting Fellow,https://www.aei.org/profile/ramesh-ponnuru/
angela-rachidi,Angela Rachidi,AngelaRachidi,aei,,Rowe Scholar,https://www.aei.org/profile/angela-rachidi/
vincent-r-reinhart,Vincent R. Reinhart,-1,aei,,Adjunct Scholar,https://www.aei.org/profile/vincent-r-reinhart/
dalibor-rohac,Dalibor Rohac,DaliborRohac,aei,,Resident Scholar,https://www.aei.org/profile/dalibor-rohac/
ian-rowe,Ian Rowe,IanVRowe,aei,,"Resident Fellow, Domestic Policy Studies",https://www.aei.org/profile/ian-rowe/
michael-rubin,Michael Rubin,mrubin1971,aei,,Resident Scholar,https://www.aei.org/profile/michael-rubin/
paul-ryan,Paul Ryan,-1,aei,,Distinguished Visiting Fellow in the Practice of Public Policy,https://www.aei.org/profile/paul-ryan/
sally-satel,Sally Satel,slsatel,aei,,Resident Scholar,https://www.aei.org/profile/sally-satel/
naomi-riley,Naomi Schaefer Riley,naomisriley,aei,,Resident Fellow,https://www.aei.org/profile/naomi-riley/
kori-schake,Kori Schake,KoriSchake,aei,,Director of Foreign and Defense Policy Studies,https://www.aei.org/profile/kori-schake/
diana-schaub,Diana Schaub,-1,aei,,Visiting Scholar,https://www.aei.org/profile/diana-schaub/
anna-scherbina,Anna Scherbina,AnnaDScherbina,aei,,Visiting Scholar,https://www.aei.org/profile/anna-scherbina/
gary-j-schmitt,Gary J. Schmitt,GaryJSchmitt1,aei,,Resident Scholar in Strategic Studies and American Institutions,https://www.aei.org/profile/gary-j-schmitt/
derek-m-scissors,Derek Scissors,DerekScissors1,aei,,Resident Scholar,https://www.aei.org/profile/derek-m-scissors/
neena-shenai,Neena Shenai,-1,aei,,Visiting Scholar,https://www.aei.org/profile/neena-shenai/
sita-nataraj-slavov,Sita Nataraj Slavov,SitaSlavov,aei,,Visiting Scholar,https://www.aei.org/profile/sita-nataraj-slavov/
vincent-h-smith,Vincent H. Smith,-1,aei,,"Visiting Scholar; Director, Agriculture Studies ",https://www.aei.org/profile/vincent-h-smith/
christina-hoff-sommers,Christina Hoff Sommers,CHSommers,aei,,Resident Scholar,https://www.aei.org/profile/christina-hoff-sommers/
katharine-b-stevens,Katharine B. Stevens,KBStevens,aei,,Resident Scholar,https://www.aei.org/profile/katharine-b-stevens/
ivana-stradner,Ivana Stradner,ivanastradner,aei,,Jeane Kirkpatrick Fellow,https://www.aei.org/profile/ivana-stradner/
michael-r-strain,Michael R. Strain,MichaelRStrain,aei,,"Director, Economic Policy Studies Arthur F. Burns Scholar in Political Economy",https://www.aei.org/profile/michael-r-strain/
ryan-streeter,Ryan Streeter,streeterryan,aei,,"Director, Domestic Policy Studies",https://www.aei.org/profile/ryan-streeter/
bret-swanson,Bret Swanson,JBSay,aei,,Visiting Fellow,https://www.aei.org/profile/bret-swanson/
shane-tews,Shane Tews,ShaneTews,aei,,Visiting Fellow,https://www.aei.org/profile/shane-tews/
marc-a-thiessen,Marc A. Thiessen,marcthiessen,aei,,Resident Fellow,https://www.aei.org/profile/marc-a-thiessen/
sean-trende,Sean Trende,SeanTrende,aei,,Visiting Fellow,https://www.aei.org/profile/sean-trende/
j-d-vance,J. D. Vance,JDVance1,aei,,Visiting Fellow,https://www.aei.org/profile/j-d-vance/
stan-veuger,Stan Veuger,stanveuger,aei,,Resident Scholar,https://www.aei.org/profile/stan-veuger/
alan-d-viard,Alan D. Viard,-1,aei,,Resident Scholar,https://www.aei.org/profile/alan-d-viard/
philip-wallach,Philip Wallach,PhilipWallach,aei,,Resident Scholar,https://www.aei.org/profile/philip-wallach/
peter-j-wallison,Peter J. Wallison,peterjwallison,aei,,Senior Fellow,https://www.aei.org/profile/peter-j-wallison/
matt-weidinger,Matt Weidinger,-1,aei,,Rowe Fellow,https://www.aei.org/profile/matt-weidinger/
gregory-s-weiner,Gregory S. Weiner,GregWeiner1,aei,,Visiting Scholar,https://www.aei.org/profile/gregory-s-weiner/
adam-j-white,Adam J. White,adamjwhitedc,aei,,Resident Scholar,https://www.aei.org/profile/adam-j-white/
w-bradford-wilcox,W. Bradford Wilcox,WilcoxNMP,aei,,Visiting Scholar,https://www.aei.org/profile/w-bradford-wilcox/
paul-wolfowitz,Paul Wolfowitz,Paulwolfowitz,aei,,Visiting Scholar,https://www.aei.org/profile/paul-wolfowitz/
di-xu,Di Xu,DiXu24980271,aei,,Visiting Fellow,https://www.aei.org/profile/di-xu/
john-yoo,John Yoo,-1,aei,,Visiting Scholar,https://www.aei.org/profile/john-yoo/
karen-e-young,Karen E. Young,ProfessorKaren,aei,,Resident Scholar,https://www.aei.org/profile/karen-e-young/
katherine-zimmerman,Katherine Zimmerman,KatieZimmerman,aei,,Resident Fellow; Critical Threats Project Adviser,https://www.aei.org/profile/katherine-zimmerman/
benjamin-zycher,Benjamin Zycher,-1,aei,,Resident Scholar,https://www.aei.org/profile/benjamin-zycher/
henry-j-aaron,Henry J. Aaron,-1,brookings,,The Bruce and Virginia MacLaury Chair;Senior Fellow - Economic Studies,https://www.brookings.edu/experts/henry-j-aaron/
stephanie-aaronson,Stephanie Aaronson,-1,brookings,,Vice President and Director - Economic Studies;Senior Fellow - Economic Studies,https://www.brookings.edu/experts/stephanie-aaronson/
geneive-abdo,Geneive Abdo,AbdoGeneive,brookings,,Visiting Fellow - Brookings Doha Center,https://www.brookings.edu/experts/geneive-abdo/
noha-aboueldahab,Noha Aboueldahab,NohaAboueldahab,brookings,,"Fellow - Foreign Policy, Brookings Doha Center",https://www.brookings.edu/experts/noha-aboueldahab/
yasmina-abouzzohour,Yasmina Abouzzohour,YAbouzzohour,brookings,,Visiting Fellow - Brookings Doha Center,https://www.brookings.edu/experts/yasmina-abouzzohour/
madiha-afzal,Madiha Afzal,MadihaAfzal,brookings,,"David M. Rubenstein Fellow - Foreign Policy, Center for 21st Century Security and Intelligence, Center for Middle East Policy",https://www.brookings.edu/experts/madiha-afzal/
ajai-nirula,Ajai Nirula,-1,brookings,,Former Brookings Expert,https://www.brookings.edu/experts/ajai-nirula/
ufuk-akcigit,Ufuk Akcigit,ufukakcigit,brookings,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/ufuk-akcigit/
randall-akee,Randall Akee,indigenalysis,brookings,,"Nonresident Fellow - Economic Studies, Center on Children and Families, Future of the Middle Class Initiative",https://www.brookings.edu/experts/randall-akee/
ranj-alaaldin,Ranj Alaaldin,RanjAlaaldin,brookings,,Visiting Fellow - Brookings Doha Center,https://www.brookings.edu/experts/ranj-alaaldin/
laura-alfaro,Laura Alfaro,-1,brookings,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/laura-alfaro/
scott-w-allard,Scott W. Allard,scottwallard,brookings,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/scott-w-allard/
john-r-allen,John R. Allen,-1,brookings,,"President, The Brookings Institution",https://www.brookings.edu/experts/john-r-allen/
asaad-alsaleh,Asaad Alsaleh,-1,brookings,,Former Brookings Expert,https://www.brookings.edu/experts/asaad-alsaleh/
hady-amr,Hady Amr,HadyAmr,brookings,,"Nonresident Senior Fellow - Foreign Policy, Center for Middle East Policy",https://www.brookings.edu/experts/hady-amr/
scott-r-anderson,Scott R. Anderson,S_R_Anders,brookings,,Visiting Fellow - Governance Studies;Senior Editor - Lawfare,https://www.brookings.edu/experts/scott-r-anderson/
william-j-antholis,William J. Antholis,wjantholis,brookings,,Nonresident Fellow - Governance Studies,https://www.brookings.edu/experts/william-j-antholis/
tamar-manuelyan-atinc,Tamar Manuelyan Atinc,Tamar_Istanbul,brookings,,"Nonresident Senior Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/tamar-manuelyan-atinc/
john-c-austin,John C. Austin,John_C_Austin,brookings,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/john-c-austin/
jeffrey-a-bader,Jeffrey A. Bader,-1,brookings,,"Senior Fellow - Foreign Policy, John L. Thornton China Center",https://www.brookings.edu/experts/jeffrey-a-bader/
bill-baer,Bill Baer,billbaer50,brookings,,Visiting Fellow - Governance Studies,https://www.brookings.edu/experts/bill-baer/
pavel-k-baev,Pavel K. Baev,-1,brookings,,"Nonresident Senior Fellow - Foreign Policy, Center on the United States and Europe",https://www.brookings.edu/experts/pavel-k-baev/
dany-bahar,Dany Bahar,dany_bahar,brookings,,Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/dany-bahar/
martin-neil-baily,Martin Neil Baily,-1,brookings,,"Bernard L. Schwartz Chair in Economic Policy Development;Senior Fellow - Economic Studies, Center on Regulation and Markets",https://www.brookings.edu/experts/martin-neil-baily/
david-baker,David Baker,dpb4psu,brookings,,"Nonresident Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/david-baker/
jeffrey-ball,Jeffrey Ball,jeff_ball,brookings,,"Nonresident Senior Fellow - Foreign Policy, Energy Security and Climate Initiative",https://www.brookings.edu/experts/jeffrey-ball/
jeremy-barofsky,Jeremy Barofsky,Jbarofsky,brookings,,Non-resident Fellow - Governance Studies,https://www.brookings.edu/experts/jeremy-barofsky/
thomas-c-barrett,Thomas C. Barrett,-1,brookings,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/thomas-c-barrett/
carlo-bastasin,Carlo Bastasin,CarloBastasin,brookings,,"Nonresident Senior Fellow - Foreign Policy, Center on the United States and Europe",https://www.brookings.edu/experts/carlo-bastasin/
kaushik-basu,Kaushik Basu,kaushikcbasu,brookings,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/kaushik-basu/
lauren-bauer,Lauren Bauer,laurenlbauer,brookings,,"Fellow - Economic Studies, The Hamilton Project",https://www.brookings.edu/experts/lauren-bauer/
celia-belin,Célia Belin,celiabelin,brookings,,"Visiting Fellow - Foreign Policy, Center on the United States and Europe",https://www.brookings.edu/experts/celia-belin/
daniel-benjamin,Daniel Benjamin,-1,brookings,,"Nonresident Senior Fellow - Foreign Policy, Center for 21st Century Security and Intelligence, The Intelligence Project",https://www.brookings.edu/experts/daniel-benjamin/
ben-s-bernanke,Ben S. Bernanke,BenBernanke,brookings,,Distinguished Fellow in Residence - Economic Studies,https://www.brookings.edu/experts/ben-s-bernanke/
alan-berube,Alan Berube,berubea1,brookings,,Senior Fellow and Deputy Director - Metropolitan Policy Program,https://www.brookings.edu/experts/alan-berube/
amar-bhattacharya,Amar Bhattacharya,-1,brookings,,Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/amar-bhattacharya/
haroon-bhorat,Haroon Bhorat,HaroonBhorat,brookings,,"Nonresident Senior Fellow - Global Economy and Development, Africa Growth Initiative",https://www.brookings.edu/experts/haroon-bhorat/
sarah-a-binder,Sarah A. Binder,BinderSAB,brookings,,Senior Fellow - Governance Studies,https://www.brookings.edu/experts/sarah-a-binder/
sandra-e-black,Sandra E. Black,Econ_Sandy,brookings,,Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/sandra-e-black/
tawanna-black,Tawanna Black,TawannaABlack,brookings,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/tawanna-black/
alan-blinder,Alan Blinder,-1,brookings,,Visiting Fellow - Economic Studies,https://www.brookings.edu/experts/alan-blinder/
barry-p-bosworth,Barry P. Bosworth,-1,brookings,,Senior Fellow - Economic Studies,https://www.brookings.edu/experts/barry-p-bosworth/
leah-boustan,Leah Boustan,leah_boustan,brookings,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/leah-boustan/
colin-i-bradford,Colin I. Bradford,-1,brookings,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/colin-i-bradford/
xavier-de-souza-briggs,Xavier de Souza Briggs,xavbriggs,brookings,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/xavier-de-souza-briggs/
kristen-broady,Kristen Broady,KEBroady,brookings,,Policy Director - The Hamilton Project;Fellow - Economic Studies,https://www.brookings.edu/experts/kristen-broady/
ralph-c-bryant,Ralph C. Bryant,-1,brookings,,"Senior Fellow - Economic Studies, Global Economy and Development",https://www.brookings.edu/experts/ralph-c-bryant/
william-burke-white,William Burke-White,wburkewh,brookings,,"Visiting Fellow - Foreign Policy, Center for 21st Century Security and Intelligence",https://www.brookings.edu/experts/william-burke-white/
gary-burtless,Gary Burtless,gburtless,brookings,,"Senior Fellow - Economic Studies, Future of the Middle Class Initiative",https://www.brookings.edu/experts/gary-burtless/
camille-busette,Camille Busette,CamilleBusette,brookings,,"Senior Fellow - Economic Studies, Governance Studies, Metropolitan Policy Program;Director - Race, Prosperity, and Inclusion Initiative",https://www.brookings.edu/experts/camille-busette/
richard-c-bush,Richard C. Bush,richardbushiii,brookings,,"Nonresident Senior Fellow - Foreign Policy, Center for East Asia Policy Studies, John L. Thornton China Center",https://www.brookings.edu/experts/richard-c-bush/
stuart-m-butler,Stuart M. Butler,stuartmbutler,brookings,,Senior Fellow - Economic Studies,https://www.brookings.edu/experts/stuart-m-butler/
daniel-l-byman,Daniel L. Byman,dbyman,brookings,,"Senior Fellow - Foreign Policy, Center for Middle East Policy",https://www.brookings.edu/experts/daniel-l-byman/
charles-t-call,Charles T. Call,call4pax,brookings,,"Nonresident Senior Fellow - Foreign Policy, Latin America Initiative",https://www.brookings.edu/experts/charles-t-call/
otaviano-canuto,Otaviano Canuto,ocanuto,brookings,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/otaviano-canuto/
marcus-casey,Marcus Casey,MarcDCase,brookings,,Nonresident Fellow - Economic Studies,https://www.brookings.edu/experts/marcus-casey/
