name,twitter,title,href
Camille Busette,CamilleBusette,"Senior Fellow - Economic Studies, Governance Studies, Metropolitan Policy Program;Director - Race, Prosperity, and Inclusion Initiative",https://www.brookings.edu/experts/camille-busette/
Richard C. Bush,richardbushiii,"Nonresident Senior Fellow - Foreign Policy, Center for East Asia Policy Studies, John L. Thornton China Center",https://www.brookings.edu/experts/richard-c-bush/
Stuart M. Butler,stuartmbutler,Senior Fellow - Economic Studies,https://www.brookings.edu/experts/stuart-m-butler/
Daniel L. Byman,dbyman,"Senior Fellow - Foreign Policy, Center for Middle East Policy",https://www.brookings.edu/experts/daniel-l-byman/
Charles T. Call,call4pax,"Nonresident Senior Fellow - Foreign Policy, Latin America Initiative",https://www.brookings.edu/experts/charles-t-call/
Otaviano Canuto,ocanuto,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/otaviano-canuto/
Marcus Casey,MarcDCase,Nonresident Fellow - Economic Studies,https://www.brookings.edu/experts/marcus-casey/
Stephanie Riegg Cellini,srcellini,"Nonresident Senior Fellow - Governance Studies, Brown Center on Education Policy",https://www.brookings.edu/experts/stephanie-riegg-cellini/
Anqi Chen,,Center for Retirement Research at Boston College,https://www.brookings.edu/experts/anqi-chen/
Judy Chevalier,,Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/judy-chevalier/
Tarun Chhabra,Twitter,"Nonresident Fellow - Foreign Policy, Center for 21st Century Security and Intelligence, Project on International Order and Strategy",https://www.brookings.edu/experts/tarun-chhabra-2/
Thomas J. Christensen,,"Nonresident Senior Fellow - Foreign Policy, John L. Thornton China Center",https://www.brookings.edu/experts/thomas-j-christensen/
Greg Clark,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/greg-clark/
Eyal Tsir Cohen,,"Visiting Fellow - Foreign Policy, Center for Middle East Policy",https://www.brookings.edu/experts/eyal-tsir-cohen/
Matthew Collin,aidthoughts,David M. Rubenstein Fellow - Global Economy and Development,https://www.brookings.edu/experts/matthew-collin/
Susan M. Collins,,Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/susan-m-collins/
Peter Conti-Brown,PeterContiBrown,Nonresident Fellow - Economic Studies,https://www.brookings.edu/experts/peter-conti-brown/
Larry Cooley,,"Nonresident Senior Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/larry-cooley/
Brahima Sangafowa Coulibaly,BSangafowaCoul,Vice President and Director - Global Economy and Development;Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/brahima-coulibaly/
Kimberlé W. Crenshaw,sandylocks,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/kimberle-w-crenshaw/
Derek Cummings,,"Nonresident Fellow - Economic Studies, Center on Social Dynamics and Policy",https://www.brookings.edu/experts/derek-cummings/
Galip Dalay,GalipDalay,"Nonresident Fellow - Brookings Doha Center;Richard von Weizsäcker Fellow, Robert Bosch Academy",https://www.brookings.edu/experts/galip-dalay/
Kemal Derviş,Kemal_Dervis,Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/kemal-dervis/
Raj M. Desai,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/raj-m-desai/
Kevin C. Desouza,KevDesouza,"Nonresident Senior Fellow - Governance Studies, Center for Technology Innovation",https://www.brookings.edu/experts/kevin-c-desouza/
John J. DiIulio,,Nonresident Senior Fellow - Governance Studies,https://www.brookings.edu/experts/john-j-diiulio/
David Dollar,davidrdollar,"Senior Fellow - Foreign Policy, Global Economy and Development, John L. Thornton China Center",https://www.brookings.edu/experts/david-dollar/
Ryan Donahue,,Nonresident Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/ryan-donahue/
Rush Doshi,rushdoshi,"Director, China Strategy Initiative;Fellow - Foreign Policy, Center for East Asia Policy Studies, John L. Thornton China Center, Project on International Order and Strategy",https://www.brookings.edu/experts/rush-doshi/
David Dreier,,Distinguished Fellow,https://www.brookings.edu/experts/david-dreier/
Daniel W. Drezner,dandrezner,"Nonresident Senior Fellow - Foreign Policy, Project on International Order and Strategy",https://www.brookings.edu/experts/daniel-w-drezner/
William Drozdiak,Wdrozdiak,"Nonresident Senior Fellow - Foreign Policy, Center on the United States and Europe",https://www.brookings.edu/experts/william-drozdiak/
Oeindrila Dube,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/oeindrila-dube/
Rick Duke,RickDuke1,"Nonresident Senior Fellow - Foreign Policy, Energy Security and Climate Initiative",https://www.brookings.edu/experts/rick-duke/
Pascaline Dupas,DupasPascaline,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/pascaline-dupas/
Janice C. Eberly,,Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/janice-c-eberly/
Wendy Edelberg,,Director - The Hamilton Project;Senior Fellow - Economic Studies,https://www.brookings.edu/experts/wendy-edelberg/
Robert Einhorn,,"Senior Fellow - Foreign Policy, Center for 21st Century Security and Intelligence, Arms Control and Non-Proliferation Initiative",https://www.brookings.edu/experts/robert-einhorn/
Norman Eisen,normeisen,Senior Fellow - Governance Studies,https://www.brookings.edu/experts/norman-eisen/
Khaled Elgindy,elgindy_,Former Brookings Expert,https://www.brookings.edu/experts/khaled-elgindy/
