name,title,type,href
Thomas Waldrop,Policy Analyst,Human Resources,https://www.americanprogress.org/person/waldrop-thomas/
Stephanie Abram,Compensation and Benefits Manager,Immigration,https://www.americanprogress.org/person/abram-stephanie/
Rebecca Basena Kampi,In Memoriam ,Immigration,https://www.americanprogress.org/person/basena-kampi-rebecca/
Anchita Bhatnagar,Human Resources Information Systems Specialist,Immigration,https://www.americanprogress.org/person/bhatnagar-anchita/
Natasha Dennis,Recruitment and Internship Manager,Immigration,https://www.americanprogress.org/person/dennis-natasha/
Amelia Hickel,Human Resources Assistant,Immigration,https://www.americanprogress.org/person/hickel-amelia/
Cheron McNeal,"Managing Director, Diversity, Equity, and Inclusion",Immigration,https://www.americanprogress.org/person/mcneal-cheron/
Belinda Randolph,Training and Onboarding Manager,Immigration,https://www.americanprogress.org/person/randolph-belinda/
Sofia Carratala,Special Assistant,LGBTQ Rights,https://www.americanprogress.org/person/carratala-sofia/
Jessica Cobian,"Senior Campaign Manager, Anti-Hate and Immigration",LGBTQ Rights,https://www.americanprogress.org/person/cobian-jessica/
Silva Mathema,"Associate Director, Policy",LGBTQ Rights,https://www.americanprogress.org/person/mathema-silva/
Nicole Prchal Svajlenka,"Associate Director, Research",LGBTQ Rights,https://www.americanprogress.org/person/svajlenka-nicole/
Philip E. Wolgin,"Managing Director, Immigration Policy",LGBTQ Rights,https://www.americanprogress.org/person/wolgin-philip-e/
Andrew Cray,In Memoriam,Legal,https://www.americanprogress.org/person/cray-andrew/
Sharita Gruberg,Senior Director,Legal,https://www.americanprogress.org/person/gruberg-sharita/
Lindsay Mahowald,Research Assistant,Legal,https://www.americanprogress.org/person/mahowald-lindsay/
Theo Santos,Special Assistant,Legal,https://www.americanprogress.org/person/santos-theo/
Leelabeth Cronkhite,Senior Legal Assistant,National Security and International Policy,https://www.americanprogress.org/person/cronkhite-leela/
Anne Dechter,Vice President and Deputy General Counsel,National Security and International Policy,https://www.americanprogress.org/person/dechter-anne/
Gypsy Moore,Legal Counsel,National Security and International Policy,https://www.americanprogress.org/person/moore-gypsy/
Grace Oyenubi,Legal Assistant,National Security and International Policy,https://www.americanprogress.org/person/oyenubi-grace/
Samantha Wolk,Senior Legal Assistant,National Security and International Policy,https://www.americanprogress.org/person/wolk-samantha/
Siena Cicarelli,Research Assistant,Office Services,https://www.americanprogress.org/person/cicarelli-siena/
Laura Edwards,China Program Coordinator,Office Services,https://www.americanprogress.org/person/edwards-laura/
Max Hoffman,"Associate Director, National Security and International Policy",Office Services,https://www.americanprogress.org/person/hoffman-max/
Peter Juul,Senior Policy Analyst,Office Services,https://www.americanprogress.org/person/juul-peter/
Carolyn Kenney,"Senior Policy Analyst, Sustainable Security and Peacebuilding Initiative",Office Services,https://www.americanprogress.org/person/kenney-carolyn/
Haneul Lee,Research Assistant,Office Services,https://www.americanprogress.org/person/lee-haneul/
Jordan Link,"Policy Analyst, China",Office Services,https://www.americanprogress.org/person/link-jordan/
Joel Martinez,"Policy Analyst, Mexico",Office Services,https://www.americanprogress.org/person/martinez-joel/
Katrina Mulligan,Managing Director,Office Services,https://www.americanprogress.org/person/mulligan-katrina/
Alexandra Schmitt,Policy Analyst,Office Services,https://www.americanprogress.org/person/schmitt-alexandra/
Kaveh Toofan,Special Assistant,Office Services,https://www.americanprogress.org/person/toofan-kaveh/
Taylor Claiborne,Receptionist,Poverty,https://www.americanprogress.org/person/claiborne-taylor/
Charlotte Corneliusen,Office Administrator,Poverty,https://www.americanprogress.org/person/corneliusen-charlotte/
Howard Frazier,Facilities Coordinator,Poverty,https://www.americanprogress.org/person/frazier-howard/
SheriAnn Stromann,"Director, Operations",Poverty,https://www.americanprogress.org/person/stromann-sheriann/
Azza Altiraifi,"Research and Advocacy Manager, Disability Justice Initiative",Race and Ethnicity,https://www.americanprogress.org/person/altiraifi-azza/
David Ballard,Field Advocacy and Outreach Manager,Race and Ethnicity,https://www.americanprogress.org/person/ballard-david/
Rebecca Cokley,"Director, Disability Justice Initiative",Race and Ethnicity,https://www.americanprogress.org/person/cokley-rebecca/
Rejane Frederick,"Associate Director, Poverty to Prosperity Program",Race and Ethnicity,https://www.americanprogress.org/person/frederick-rejane/
Areeba Haider,Research Assistant,Race and Ethnicity,https://www.americanprogress.org/person/haider-areeba/
Jaboa Lake,"Senior Policy Analyst, Poverty to Prosperity Program",Race and Ethnicity,https://www.americanprogress.org/person/lake-jaboa/
Mara Pellittieri,"Editor-In-Chief, TalkPoverty",Race and Ethnicity,https://www.americanprogress.org/person/pellittieri-mara/
Justin Schweitzer,"Policy Analyst, Poverty to Prosperity Program",Race and Ethnicity,https://www.americanprogress.org/person/schweitzer-justin/
Christine Sloane,"Director, Anti-Poverty Advocacy",Race and Ethnicity,https://www.americanprogress.org/person/sloane-christine/
s.e. smith,"Deputy Editor, TalkPoverty",Race and Ethnicity,https://www.americanprogress.org/person/smith-se/
Taryn Williams,"Managing Director, Poverty to Prosperity Program",Race and Ethnicity,https://www.americanprogress.org/person/williams-taryn/
Richard Figueroa,Research Assistant,Religion and Values,https://www.americanprogress.org/person/figueroa-richard/
Maggie Siddiqi,Director,Technology,https://www.americanprogress.org/person/siddiqi-maggie/
Christopher Bachmann,UNIX Systems Administrator,Technology Policy,https://www.americanprogress.org/person/bachmann-christopher/
Craig Chambers,"Director, Technology and Security",Technology Policy,https://www.americanprogress.org/person/chambers-craig/
Demetrick DeVille,Desktop Support Technician,Technology Policy,https://www.americanprogress.org/person/deville-demetrick/
Bret Gaulin, Data Warehouse/BI Analyst,Technology Policy,https://www.americanprogress.org/person/gaulin-bret/
Paula Hubble,Enterprise Applications Support Technician,Technology Policy,https://www.americanprogress.org/person/hubble-paula/
Rhonda Malone,"Senior Director, Enterprise Applications and Procurement",Technology Policy,https://www.americanprogress.org/person/malone-rhonda/
Khalif Milton,Desktop Support Technician,Technology Policy,https://www.americanprogress.org/person/milton-khalif/
Adeleke Ogunbela,Windows System Administrator,Technology Policy,https://www.americanprogress.org/person/ogunbela-adeleke/
Alex Pryor,A/V and Systems Engineer,Technology Policy,https://www.americanprogress.org/person/pryor-alex/
Walter Rodriguez,Desktop Support Lead Technician,Technology Policy,https://www.americanprogress.org/person/rodriguez-walter/
Aaron Williams,Information Technology Manager,Technology Policy,https://www.americanprogress.org/person/williams-aaron/
Erin Simpson,Associate Director,Women's Initiative,https://www.americanprogress.org/person/simpson-erin/
