name,title,type,href
Lawrence J. Korb,Senior Fellow,Nonresident Senior Fellows,https://www.americanprogress.org/person/korb-lawrence-j/
Livia Lam,"Senior Fellow; Director, Workforce Development",Nonresident Senior Fellows,https://www.americanprogress.org/person/lam-livia/
Matt Lee-Ashley,Senior Fellow,Nonresident Senior Fellows,https://www.americanprogress.org/person/lee-ashley-matt/
Jacob Leibenluft,Senior Fellow,Nonresident Senior Fellows,https://www.americanprogress.org/person/leibenluft-jacob/
David Madland,"Senior Fellow; Senior Adviser, American Worker Project",Nonresident Senior Fellows,https://www.americanprogress.org/person/madland-david/
Scott Nathan,Senior Fellow,Nonresident Senior Fellows,https://www.americanprogress.org/person/nathan-scott/
Sam Ricketts,Senior Fellow,Nonresident Senior Fellows,https://www.americanprogress.org/person/ricketts-sam/
Michael Sozan,Senior Fellow,Nonresident Senior Fellows,https://www.americanprogress.org/person/sozan-michael/
Ruy Teixeira,Senior Fellow,Nonresident Senior Fellows,https://www.americanprogress.org/person/teixeira-ruy/
Rebecca Vallas,Senior Fellow,Nonresident Senior Fellows,https://www.americanprogress.org/person/vallas-rebecca/
Alan Yu,"Senior Fellow; Director, International Climate Policy",Nonresident Senior Fellows,https://www.americanprogress.org/person/yu-alan/
Nish Acharya,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/acharya-nish/
Michael Barr,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/barr-michael/
Daniel Benaim,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/benaim-daniel/
David A. Bergeron,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/bergeron-david/
Ulrich Boser,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/boser-ulrich/
Catherine Brown,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/brown-catherine/
Cynthia G. Brown,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/brown-cynthia-g/
Matt Browne,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/browne-matt/
Aneesh Chopra,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/chopra-aneesh/
Simon Clark,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/clark-simon/
Kimberly Clausing,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/clausing-kimberly/
Alan Cohen,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/cohen-alan/
Greg Dotson,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/dotson-greg/
Zeke Emanuel,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/emanuel-zeke/
Henry Fernandez,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/fernandez-henry/
Netsy Firestein,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/firestein-netsy/
Glen S. Fukushima,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/fukushima-glen/
Sarah Jane Glynn,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/glynn-sarah-jane/
Maha Jweied,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/jweied-maha/
Frank Kendall,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/kendall-frank/
Adriana Kugler,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/kugler-adriana/
Karen A. Lash,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/lash-karen/
Alan Makovsky,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/makovsky-alan/
Elisa Massimino,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/massimino-elisa/
Taryn Morrissey,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/morrissey-taryn/
Matt Olsen,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/olsen-matt/
Steve Phillips,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/phillips-steve/
Dan Restrepo,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/restrepo-dan/
Shirley Sagawa,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/sagawa-shirley/
Vikram Singh,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/singh-vikram/
Ganesh Sitaraman,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/sitaraman-ganesh/
Trevor Sutton,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/sutton-trevor/
Vilissa Thompson,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/thompson-vilissa/
Emma Vadehra,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/vadehra-emma/
Judith Warner,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/warner-judith/
Renita J. Weems,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/weems-renita/
Christian E. Weller,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/weller-christian-e/
Michael Werz,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/werz-michael/
Tom K. Wong,Senior Fellow,Resident Fellows,https://www.americanprogress.org/person/wong-tom/
James Lamond,Fellow,Nonresident Fellows,https://www.americanprogress.org/person/lamond-james/
Asha Padmanabhan,Fellow,Nonresident Fellows,https://www.americanprogress.org/person/padmanabhan-asha/
Guthrie Graves-Fitzsimmons,Fellow,"Art, Editorial, and Video",https://www.americanprogress.org/person/graves-fitzsimmons-guthrie/
